Pop	estimate	statistic	p.value	parameter	conf.low	conf.high	method	alternative	Pop1	mean_diff	iter	m	h2
EAS	0.261452293006958	27.0847186723132	5.77649091528844e-156	9998	0.243097974502098	0.279619457782659	Pearson's product-moment correlation	two.sided	EAS	-1.93325869229282e-15	46	200	0.67
EUR	0.169103183937657	17.1556975801667	4.83780352315521e-65	9998	0.150000279999986	0.188079875559854	Pearson's product-moment correlation	two.sided	EUR	3.34405208927448e-14	46	200	0.67
AFR	0.191939522130896	19.5556354317978	1.33172158511735e-83	9998	0.172990246291143	0.210746756917849	Pearson's product-moment correlation	two.sided	AFR	8.32850021587062e-16	47	200	0.67
ALL	0.216912500490202	38.4853915414227	2.4683029553108e-316	29998	0.206102453020415	0.227669609888126	Pearson's product-moment correlation	two.sided	ALL	2.25073832930077e-15	47	200	0.67
EAS	0.272330086832805	28.2999118591077	1.48211089474636e-169	9998	0.254086250153618	0.290380197715828	Pearson's product-moment correlation	two.sided	EAS	-2.15358849798967e-15	47	200	0.67
EUR	0.304716787861583	31.989978699069	7.07854726928219e-214	9998	0.286829800344079	0.322391384869097	Pearson's product-moment correlation	two.sided	EUR	8.03997595970741e-15	47	200	0.67
AFR	0.253784246105476	26.2347913495579	9.16015115787082e-147	9998	0.235354875734761	0.272031181599398	Pearson's product-moment correlation	two.sided	AFR	-3.44061651998823e-15	50	200	0.67
ALL	0.264865961032688	47.5736836695934	0	29998	0.254312247437134	0.275356600338864	Pearson's product-moment correlation	two.sided	ALL	-5.7182602774737e-16	50	200	0.67
EAS	0.257507567432329	26.6468110875848	3.41637357959212e-151	9998	0.239114347317246	0.275716052651976	Pearson's product-moment correlation	two.sided	EAS	-5.99901353687081e-15	50	200	0.67
EUR	0.43383729031531	48.1462957207205	0	9998	0.417789787673617	0.449614182450274	Pearson's product-moment correlation	two.sided	EUR	7.73732340675869e-15	50	200	0.67
AFR	0.155015960544099	15.6897034912209	7.99595394642315e-55	9998	0.135828581738032	0.174087097595548	Pearson's product-moment correlation	two.sided	AFR	-7.4823380726962e-16	51	200	0.67
ALL	0.133782540015636	23.3812237868348	7.84357616155407e-120	29998	0.122652280127433	0.144879151194646	Pearson's product-moment correlation	two.sided	ALL	-7.30035530725065e-16	51	200	0.67
EAS	0.0167910776738971	1.67917657866904	0.0931488820472969	9998	-0.00280991708964022	0.0363791750604019	Pearson's product-moment correlation	two.sided	EAS	-2.23172168137102e-15	51	200	0.67
